"Age","Vehicle_Use","Severity","Claim_Count","Car_Model","Group","Exposure"
"C","DriveLong",294.416735462561,321.831423446769,"Ford Explorer","Midsize SUVs",94752.557060467
"B","Pleasure",218.286835370002,63.809703670512,"Mazda CX-9","Midsize SUVs",13928.8182801337
"G","Pleasure",206.185233917724,271.48706929367,"Ford Explorer","Midsize SUVs",55976.6248879528
"F","Business",353.362273713787,300.857538267784,"Subaru Legacy","Midsize Cars",106311.703786237
"E","Business",256.479623295387,166.462575054378,"Hyundai Sonata","Midsize Cars",42694.258542727
"A","DriveLong",249.740390905116,22.6495887974743,"Toyota RAV4","Small SUVs",5656.51716012136
"B","Pleasure",213.728540605716,63.8706742380978,"Mazda CX-9","Midsize SUVs",13650.9859924118
"H","Pleasure",193.314391840249,261.181322267046,"Mazda CX-9","Midsize SUVs",50490.1084740862
"B","Business",357.429562918925,44.0951211065054,"Hyundai Sonata","Midsize Cars",15760.8998639553
"A","DriveLong",242.851580023154,22.6238714850042,"Toyota RAV4","Small SUVs",5494.24293637405
"D","DriveShort",232.975367018469,457.099251959473,"Mazda CX-9","Midsize SUVs",106492.865989126
"H","DriveShort",198.940772405284,591.857513136696,"Ford Explorer","Midsize SUVs",117744.590817285
"D","DriveShort",231.855141574547,458.966018473357,"Mazda CX-9","Midsize SUVs",106413.631191046
"D","DriveLong",291.269713119191,352.588034884736,"Ford Explorer","Midsize SUVs",102698.215770137
"D","DriveLong",287.882558091427,354.620331206429,"Ford Explorer","Midsize SUVs",102089.008098936
"E","Pleasure",157.107039427884,152.468860497547,"Mazda CX-9","Midsize SUVs",23953.9312777126
"A","DriveLong",243.908949682156,22.5520499567967,"Toyota RAV4","Small SUVs",5500.64681814178
"E","DriveShort",202.257563722354,467.574632523244,"Mazda CX-9","Midsize SUVs",94570.5060325264
"G","DriveLong",249.457241068471,491.758005930483,"Ford Explorer","Midsize SUVs",122672.595432751
"B","Pleasure",208.593628059188,62.4031980772619,"Mazda CX-9","Midsize SUVs",13016.9094894322
"D","Pleasure",225.790112268101,123.704511331825,"Mazda CX-9","Midsize SUVs",27931.2555016833
"A","DriveShort",272.285034649051,40.8622805462219,"Hyundai Sonata","Midsize Cars",11126.1874743672
"D","DriveShort",229.423490400195,442.091163273156,"Mazda CX-9","Midsize SUVs",101426.09775321
"E","DriveShort",197.145539385832,487.838018714136,"Mazda CX-9","Midsize SUVs",96175.0893323141
"G","DriveShort",200.135167562743,874.712502181833,"Mazda CX-9","Midsize SUVs",175060.733193388
"B","DriveShort",291.354318708491,167.41564787433,"Hyundai Sonata","Midsize Cars",48777.2720275661
"B","DriveShort",294.396757711258,166.924856019986,"Hyundai Sonata","Midsize Cars",49142.1363937026
"D","Business",367.893732138411,165.366151722148,"Hyundai Sonata","Midsize Cars",60837.1707264278
"A","Pleasure",248.349233537452,21.0826767061721,"Mazda CX-9","Midsize SUVs",5235.86660089573
"A","DriveLong",247.472119947967,23.0266430146294,"Toyota RAV4","Small SUVs",5698.45216211538
"H","Business",350.383235097389,96.7613488476724,"Subaru Legacy","Midsize Cars",33903.5544416344
"H","Pleasure",189.342730206996,255.713912390172,"Mazda CX-9","Midsize SUVs",48417.5703238679
"F","DriveLong",241.688652959187,703.666166193725,"Ford Explorer","Midsize SUVs",170068.127840317
"F","DriveLong",231.243785839373,724.663715524483,"Ford Explorer","Midsize SUVs",167573.981038307
"E","DriveLong",241.028571568116,371.764099049033,"Mazda CX-9","Midsize SUVs",89605.769754096
"G","DriveShort",200.375540908746,844.507505037833,"Mazda CX-9","Midsize SUVs",169218.648123452
"C","Business",338.484007790343,129.694213567476,"Subaru Legacy","Midsize Cars",43899.417195536
"E","DriveShort",197.238379882089,468.310767782049,"Mazda CX-9","Midsize SUVs",92368.8571186684
"A","Business",786.9516979142,4.891124675225,"Rivian R1T","Large Pickups",3849.07886787835
"F","Pleasure",211.290955657953,242.960821444693,"Ford Explorer","Midsize SUVs",51335.4241504904
"D","DriveShort",226.704680981442,439.805500917137,"Mazda CX-9","Midsize SUVs",99705.9657793029
"E","Pleasure",155.288207716996,148.058794773789,"Mazda CX-9","Midsize SUVs",22991.7848771603
"C","DriveLong",293.478054577456,314.731207049964,"Ford Explorer","Midsize SUVs",92366.7023598378
"H","DriveLong",254.013874992786,317.637878458109,"Ford Explorer","Midsize SUVs",80684.4283516318
"H","Pleasure",194.17797806561,262.947982874699,"Mazda CX-9","Midsize SUVs",51058.7076510397
"D","DriveShort",225.810110479385,445.063043625653,"Mazda CX-9","Midsize SUVs",100499.7350514
"B","Business",359.155960242647,43.0769948072732,"Hyundai Sonata","Midsize Cars",15471.3594343737
"C","DriveShort",252.940870411357,342.741161033174,"Subaru Legacy","Midsize Cars",86693.24759753
"D","DriveShort",222.8317928598,440.726200024039,"Mazda CX-9","Midsize SUVs",98207.8093116434
"H","DriveLong",258.923189118483,318.494243818894,"Ford Explorer","Midsize SUVs",82465.5453254676
"G","Pleasure",203.609355780059,260.226477333461,"Ford Explorer","Midsize SUVs",52984.54540678
"E","DriveLong",238.255214984387,389.923073298507,"Mazda CX-9","Midsize SUVs",92901.2056561086
"F","Pleasure",213.552920112139,243.412378924026,"Ford Explorer","Midsize SUVs",51981.4243106682
"F","Business",355.340738991967,303.679063981213,"Subaru Legacy","Midsize Cars",107909.543011473
"C","DriveShort",253.334166693768,337.840395598859,"Subaru Legacy","Midsize Cars",85586.5150945296
"E","DriveLong",241.004394294734,383.487163058203,"Mazda CX-9","Midsize SUVs",92422.0914526479
"D","DriveLong",293.947519609931,368.797396578221,"Ford Explorer","Midsize SUVs",108407.079962768
"E","Pleasure",156.58592691199,154.055857732554,"Mazda CX-9","Midsize SUVs",24122.9792792737
"E","Pleasure",153.584737358547,151.445185553806,"Mazda CX-9","Midsize SUVs",23259.6690474978
"A","DriveShort",278.628433678645,39.8615021961741,"Hyundai Sonata","Midsize Cars",11106.5479209978
"G","DriveShort",202.738555218491,879.269102807774,"Mazda CX-9","Midsize SUVs",178261.747551507
"B","Business",354.698667725115,43.2263243834022,"Hyundai Sonata","Midsize Cars",15332.3196694464
"G","Pleasure",208.065114795531,264.134308054275,"Ford Explorer","Midsize SUVs",54957.1351267508
"A","DriveLong",242.790222863995,23.3909279289539,"Toyota RAV4","Small SUVs",5679.08860486637
"C","DriveShort",249.03502086897,347.691685616795,"Subaru Legacy","Midsize Cars",86587.406183546
"G","DriveLong",255.136406696861,493.004613540508,"Ford Explorer","Midsize SUVs",125783.4255837
"E","Pleasure",151.678041774621,150.590877662308,"Mazda CX-9","Midsize SUVs",22841.3294329403
"E","DriveShort",201.23206924149,476.679968814005,"Mazda CX-9","Midsize SUVs",95923.296490411
"E","DriveLong",233.47125224291,377.00590416271,"Mazda CX-9","Midsize SUVs",88020.0405478383
"F","DriveShort",197.878649317701,962.423569881823,"Mazda CX-9","Midsize SUVs",190443.076079735
"A","DriveLong",239.585097600131,23.497084041487,"Toyota RAV4","Small SUVs",5629.55117339813
"G","DriveShort",199.875091072077,850.434742910403,"Mazda CX-9","Midsize SUVs",169980.721690075
"F","Business",346.223868745602,310.245813336596,"Subaru Legacy","Midsize Cars",107414.505755522
"A","DriveShort",279.517757891268,39.0058942190371,"Hyundai Sonata","Midsize Cars",10902.8400966493
"D","Pleasure",228.12085614378,121.75411056031,"Mazda CX-9","Midsize SUVs",27774.6519400424
"A","DriveLong",245.287672781643,22.7454306603293,"Toyota RAV4","Small SUVs",5579.17375308839
"D","Business",369.034675388025,165.578209856397,"Hyundai Sonata","Midsize Cars",61104.1009256858
"H","DriveShort",192.11317316963,589.481954626693,"Ford Explorer","Midsize SUVs",113247.24882957
"F","Pleasure",211.4114195391,245.905262703775,"Ford Explorer","Midsize SUVs",51987.1806603403
"C","Pleasure",251.640903105494,138.737067312235,"Ford Explorer","Midsize SUVs",34911.9209126585
"D","Business",372.466481714022,172.892880435858,"Hyundai Sonata","Midsize Cars",64396.8028893472
"C","DriveShort",247.776410505566,339.020238756831,"Subaru Legacy","Midsize Cars",84001.2178479074
"G","DriveShort",204.003951231242,874.640954437037,"Mazda CX-9","Midsize SUVs",178430.210613821
"E","Pleasure",155.53381053499,149.132590412931,"Mazda CX-9","Midsize SUVs",23195.160061877
"D","DriveShort",230.705168058135,437.193167178333,"Mazda CX-9","Midsize SUVs",100862.723107745
"C","Pleasure",256.614024952071,137.836005214136,"Ford Explorer","Midsize SUVs",35370.6520813142
"A","DriveLong",241.836452102192,22.4444236770854,"Toyota RAV4","Small SUVs",5427.87979154478
"A","Business",780.438767286744,5.01451196841663,"Rivian R1T","Large Pickups",3913.5195391757
"A","Pleasure",249.539724707433,21.0736819460406,"Mazda CX-9","Midsize SUVs",5258.72079138697
"E","Pleasure",152.135701348917,152.686187091772,"Mazda CX-9","Midsize SUVs",23229.0201594987
"B","DriveShort",297.543209264635,174.025770886056,"Hyundai Sonata","Midsize Cars",51780.1863641892
"H","Pleasure",191.470259870589,265.541771481279,"Mazda CX-9","Midsize SUVs",50843.3519920171
"C","DriveShort",250.418135528492,341.920002115169,"Subaru Legacy","Midsize Cars",85622.9694295785
"B","DriveLong",290.920193355023,89.9698526623193,"Ford Explorer","Midsize SUVs",26174.0469326449
"F","DriveLong",232.908772163371,711.039583634911,"Ford Explorer","Midsize SUVs",165607.356383961
"G","DriveShort",202.543808000476,865.601798208966,"Mazda CX-9","Midsize SUVs",175322.284421304
"D","Business",374.604239439266,172.763590835303,"Hyundai Sonata","Midsize Cars",64717.973547655
"E","DriveShort",199.416680759841,477.541609820339,"Mazda CX-9","Midsize SUVs",95229.762755083
"H","Pleasure",190.078220039606,266.143421186833,"Mazda CX-9","Midsize SUVs",50588.0677744444
"H","DriveShort",201.113689382345,581.245108310948,"Ford Explorer","Midsize SUVs",116896.348167856
"F","Pleasure",208.215106558155,245.644312503107,"Ford Explorer","Midsize SUVs",51146.8567032393
"A","Business",777.925268539332,4.9127755734371,"Rivian R1T","Large Pickups",3821.77225723953
"G","Pleasure",203.003658641025,264.976651490689,"Ford Explorer","Midsize SUVs",53791.2297070576
"F","DriveLong",241.154808748344,719.652498188242,"Ford Explorer","Midsize SUVs",173547.660565854
"F","DriveLong",235.738039953214,723.113027837418,"Ford Explorer","Midsize SUVs",170465.247847027
"C","Business",348.185386398915,126.576923817652,"Subaru Legacy","Midsize Cars",44072.2351286352
"F","DriveLong",239.976524269803,714.316625983024,"Ford Explorer","Midsize SUVs",171419.221131539
"H","Business",347.185271329067,97.1773337692022,"Subaru Legacy","Midsize Cars",33738.5389916958
"B","DriveLong",299.673158077183,90.5759698589798,"Ford Explorer","Midsize SUVs",27143.1869335442
"F","Pleasure",209.198663421424,240.98231719638,"Ford Explorer","Midsize SUVs",50413.1786656803
"G","Pleasure",207.834006460827,260.112096335553,"Ford Explorer","Midsize SUVs",54060.1391103425
"F","Business",347.883026191045,304.385086654499,"Subaru Legacy","Midsize Cars",105890.405072791
"G","Pleasure",208.776674854254,263.710242045135,"Ford Explorer","Midsize SUVs",55056.5474591937
"G","DriveLong",258.26581047006,491.820849500131,"Ford Explorer","Midsize SUVs",127020.510302225
"D","DriveLong",297.754422511998,365.460297422344,"Ford Explorer","Midsize SUVs",108817.419810053
"E","DriveLong",234.492458033272,383.44132455925,"Mazda CX-9","Midsize SUVs",89914.0987074321
"B","DriveShort",296.694441589981,175.030063920014,"Hyundai Sonata","Midsize Cars",51930.4470762072
"E","DriveLong",241.26382492712,387.972476129187,"Mazda CX-9","Midsize SUVs",93603.7235573735
"E","DriveShort",197.512818902737,478.306050480891,"Mazda CX-9","Midsize SUVs",94471.5763287157
"G","Business",343.223062706603,164.253503418854,"Subaru Legacy","Midsize Cars",56375.5905037084
"G","DriveLong",256.36403593218,510.632940610964,"Ford Explorer","Midsize SUVs",130907.921534944
"E","DriveShort",205.290880302458,487.477908740542,"Mazda CX-9","Midsize SUVs",100074.769013347
"D","DriveShort",225.165031799354,453.807165982574,"Mazda CX-9","Midsize SUVs",102181.504959241
"B","DriveShort",295.246798429256,167.473626739718,"Hyundai Sonata","Midsize Cars",49446.052116238
"F","Pleasure",212.087596760596,247.251071399252,"Ford Explorer","Midsize SUVs",52438.8855295499
"G","DriveShort",200.446957273737,856.112892086303,"Mazda CX-9","Midsize SUVs",171605.224301519
"B","DriveShort",303.795143405967,171.003438983497,"Hyundai Sonata","Midsize Cars",51950.014268905
"D","Business",369.640933085393,168.76522375464,"Hyundai Sonata","Midsize Cars",62382.5347810302
"C","DriveLong",294.170603305853,318.280084782606,"Ford Explorer","Midsize SUVs",93628.6445607374
"E","Pleasure",154.542317712395,152.995447839075,"Mazda CX-9","Midsize SUVs",23644.2711084964
"B","Business",354.171808806118,44.3485144674312,"Hyundai Sonata","Midsize Cars",15706.9935867944
"H","Pleasure",195.986677464098,259.133906757459,"Mazda CX-9","Midsize SUVs",50786.7934036857
"F","DriveLong",240.612110230471,716.007530895236,"Ford Explorer","Midsize SUVs",172280.082949612
"G","DriveLong",255.992607591272,501.970354678016,"Ford Explorer","Midsize SUVs",128500.700027541
"G","Pleasure",212.281250044314,261.30073282423,"Ford Explorer","Midsize SUVs",55469.2462014227
"B","DriveLong",298.988337372129,94.0853592746891,"Ford Explorer","Midsize SUVs",28130.4251405988
"A","Business",809.097894916357,4.93542021920439,"Rivian R1T","Large Pickups",3993.2381098859
"C","Business",347.449432992583,131.337152878032,"Subaru Legacy","Midsize Cars",45633.0192983324
"D","Pleasure",226.399362264209,125.245947492099,"Mazda CX-9","Midsize SUVs",28355.6026383879
"G","Business",337.041260686761,158.270000729221,"Subaru Legacy","Midsize Cars",53343.5205746712
"E","DriveShort",198.905076642505,474.843555346294,"Mazda CX-9","Midsize SUVs",94448.7937693545
"G","DriveShort",206.346402649009,852.568791419978,"Mazda CX-9","Midsize SUVs",175924.503120326
"E","Pleasure",155.338603935766,150.285607274203,"Mazda CX-9","Midsize SUVs",23345.1564256135
"G","Business",334.655750645765,159.250537431333,"Subaru Legacy","Midsize Cars",53294.1081448243
"H","DriveShort",199.79530009451,590.827815346792,"Ford Explorer","Midsize SUVs",118044.620671396
"A","Pleasure",252.137851177488,21.5234445941867,"Mazda CX-9","Midsize SUVs",5426.87506991597
"B","DriveShort",299.427912151678,172.738755885127,"Hyundai Sonata","Midsize Cars",51722.8050223622
"A","DriveShort",268.5139905541,39.6210699495859,"Hyundai Sonata","Midsize Cars",10638.8116021865
"C","DriveShort",245.819709329776,338.822372070036,"Subaru Legacy","Midsize Cars",83289.2170166814
"G","DriveShort",203.656321499797,875.085802714305,"Mazda CX-9","Midsize SUVs",178216.755577492
"E","DriveShort",206.275489570136,488.874082497065,"Mazda CX-9","Midsize SUVs",100842.740705233
"A","Pleasure",244.94996350444,21.0402647993644,"Mazda CX-9","Midsize SUVs",5153.81209472806
"E","DriveShort",201.241135198727,481.341254014161,"Mazda CX-9","Midsize SUVs",96865.6603757887
"F","Business",350.876812586335,304.658637588285,"Subaru Legacy","Midsize Cars",106897.651683873
"F","Business",352.653684286531,305.76640661452,"Subaru Legacy","Midsize Cars",107829.649823664
"F","DriveShort",198.129719810919,979.204502913868,"Mazda CX-9","Midsize SUVs",194009.513799915
"A","DriveShort",279.767330108517,40.5839830571786,"Hyundai Sonata","Midsize Cars",11354.0725850761
"F","Pleasure",206.099538579464,244.305251957616,"Ford Explorer","Midsize SUVs",50351.1997010044
"C","DriveShort",248.071591879747,342.951118621929,"Subaru Legacy","Midsize Cars",85076.4299334817
"C","DriveLong",293.711901619162,322.731201869133,"Ford Explorer","Midsize SUVs",94789.9950128207
"H","DriveShort",200.608855942306,577.446302278619,"Ford Explorer","Midsize SUVs",115840.842068229
"B","Business",366.042028725639,44.4668403799646,"Hyundai Sonata","Midsize Cars",16276.7324637014
"H","Pleasure",191.033949664235,261.576607278315,"Mazda CX-9","Midsize SUVs",49970.0124281471
"A","DriveShort",271.760747681897,39.091970065143,"Hyundai Sonata","Midsize Cars",10623.6630132616
"G","Business",344.024359400352,160.913779801643,"Subaru Legacy","Midsize Cars",55358.2600149493
"F","DriveLong",232.767752159766,711.423104461434,"Ford Explorer","Midsize SUVs",165596.356860011
"F","Pleasure",206.437666787404,243.062297047523,"Ford Explorer","Midsize SUVs",50177.2134864775
"D","DriveShort",232.924559600495,443.528159629554,"Mazda CX-9","Midsize SUVs",103308.601252132
"A","Business",797.772404565867,5.08182943356223,"Rivian R1T","Large Pickups",4054.14328680654
"G","Pleasure",212.265837361506,263.4250096804,"Ford Explorer","Midsize SUVs",55916.1302617729
"G","DriveShort",205.464441049222,870.357934004255,"Mazda CX-9","Midsize SUVs",178827.60642294
"E","DriveShort",205.329388155706,487.541204354994,"Mazda CX-9","Midsize SUVs",100106.537190907
"C","Business",343.594038389528,129.161240284529,"Subaru Legacy","Midsize Cars",44379.0321527615
"A","Business",780.565482379806,5.10787403967697,"Rivian R1T","Large Pickups",3987.03016371574
"H","Pleasure",192.172051070631,264.467857282143,"Mazda CX-9","Midsize SUVs",50823.3305761642
"E","Pleasure",156.685776094087,148.571287407831,"Mazda CX-9","Midsize SUVs",23279.0074727937
"C","DriveShort",242.728419630669,335.270336704922,"Subaru Legacy","Midsize Cars",81379.6389774281
"E","DriveLong",233.560410152278,384.92232391237,"Mazda CX-9","Midsize SUVs",89902.6158497411
"G","DriveShort",204.002483367844,840.025875252753,"Mazda CX-9","Midsize SUVs",171367.364644809
"H","Pleasure",191.72467623353,255.07361348113,"Mazda CX-9","Midsize SUVs",48903.9059603863
"G","DriveShort",207.637575877293,856.636416452646,"Mazda CX-9","Midsize SUVs",177869.908920439
"A","Pleasure",253.844763406356,20.778173068387,"Mazda CX-9","Midsize SUVs",5274.430426561
"D","DriveShort",231.61091349303,446.22427489832,"Mazda CX-9","Midsize SUVs",103350.411931965
"B","Pleasure",212.805125750921,63.3695770921768,"Mazda CX-9","Midsize SUVs",13485.3708218834
"D","Pleasure",234.783910587804,125.114701569336,"Mazda CX-9","Midsize SUVs",29374.9189064749
"D","DriveLong",292.991730642302,359.647633906349,"Ford Explorer","Midsize SUVs",105373.78267963
"E","Business",262.197373366687,164.680518495664,"Hyundai Sonata","Midsize Cars",43178.7993942272
"G","Business",341.409520043738,159.959688750445,"Subaru Legacy","Midsize Cars",54611.7605626351
"B","DriveShort",302.369355689553,167.310521372,"Hyundai Sonata","Midsize Cars",50589.5745473348
"G","Business",343.380224243601,158.794794591749,"Subaru Legacy","Midsize Cars",54526.9921756313
"E","Business",260.438566324595,166.724509132956,"Hyundai Sonata","Midsize Cars",43421.492129759
"C","Pleasure",252.569452089148,139.143262863625,"Ford Explorer","Midsize SUVs",35143.337663362
"E","Business",249.879283983329,163.349822831014,"Hyundai Sonata","Midsize Cars",40817.7367678174
"B","DriveLong",291.304928100395,92.0962967198342,"Ford Explorer","Midsize SUVs",26828.1050942839
"F","Pleasure",213.028043876465,248.926830752636,"Ford Explorer","Midsize SUVs",53028.395823602
"H","Business",341.385854393357,97.0225038874894,"Subaru Legacy","Midsize Cars",33122.1103850134
"C","Business",344.615558241356,126.242324627505,"Subaru Legacy","Midsize Cars",43505.0691751942
"F","Pleasure",209.76730295424,241.209418986051,"Ford Explorer","Midsize SUVs",50597.849267863
"F","Business",360.478733570795,296.732374797761,"Subaru Legacy","Midsize Cars",106965.710676551
"H","Business",346.393817851568,97.0623177196831,"Subaru Legacy","Midsize Cars",33621.7868044429
"E","DriveLong",234.774875110141,379.534718520159,"Mazda CX-9","Midsize SUVs",89105.216140533
"E","DriveShort",200.414454222699,469.952756212093,"Mazda CX-9","Midsize SUVs",94185.3251466997
"C","Business",345.105194805505,127.273524316284,"Subaru Legacy","Midsize Cars",43922.7544027543
"B","DriveLong",294.271250219047,91.0454745246097,"Ford Explorer","Midsize SUVs",26792.0656151433
"A","Business",800.871262592939,5.11842540057842,"Rivian R1T","Large Pickups",4099.199813049
"C","DriveLong",291.72930783208,320.763113988214,"Ford Explorer","Midsize SUVs",93576.0012218443
"H","DriveShort",200.636191420905,568.665808378812,"Ford Explorer","Midsize SUVs",114094.941984415
"A","DriveShort",271.112508416223,39.4886136753485,"Hyundai Sonata","Midsize Cars",10705.8571074029
"A","DriveLong",241.896749724497,22.9273393113399,"Toyota RAV4","Small SUVs",5546.0488592438
"A","DriveLong",243.928721739835,22.6754864746938,"Toyota RAV4","Small SUVs",5531.20243060096
"B","Pleasure",213.324190061453,63.3847729472327,"Mazda CX-9","Midsize SUVs",13521.5053511975
"B","Pleasure",211.173764743923,62.9405407559825,"Mazda CX-9","Midsize SUVs",13291.3909464592
"D","DriveLong",289.501333117903,365.860267883749,"Ford Explorer","Midsize SUVs",105917.035287218
"A","Business",806.734517963482,5.00353334716056,"Rivian R1T","Large Pickups",4036.52306293578
"A","DriveShort",273.717919198328,39.633350695949,"Hyundai Sonata","Midsize Cars",10848.3582833528
"E","DriveShort",203.115746130321,486.783087234048,"Mazda CX-9","Midsize SUVs",98873.3099671649
"B","DriveShort",300.52841212101,174.662337128143,"Hyundai Sonata","Midsize Cars",52490.9948344654
"A","DriveLong",239.065208402761,22.8938904659008,"Toyota RAV4","Small SUVs",5473.13269538055
"F","DriveShort",202.582707232484,953.25443466811,"Mazda CX-9","Midsize SUVs",193112.864056436
"H","Pleasure",193.19523928687,254.078388103284,"Mazda CX-9","Midsize SUVs",49086.7349872361
"F","DriveLong",234.026427909394,730.029396725737,"Ford Explorer","Midsize SUVs",170846.171984574
"C","DriveShort",251.120031380731,338.81478509584,"Subaru Legacy","Midsize Cars",85083.1794655228
"E","DriveShort",205.700220423092,482.935540115973,"Mazda CX-9","Midsize SUVs",99339.9470520006
"C","DriveShort",247.278923941418,338.955916998396,"Subaru Legacy","Midsize Cars",83816.6544189397
"A","DriveShort",273.306934836289,39.2752016964369,"Hyundai Sonata","Midsize Cars",10734.1849907302
"F","DriveLong",235.935253643277,707.337231292902,"Ford Explorer","Midsize SUVs",166885.789076424
"A","DriveShort",268.638746659015,39.9538275287487,"Hyundai Sonata","Midsize Cars",10733.1461515535
"A","Pleasure",248.385788237151,21.132549027598,"Mazda CX-9","Midsize SUVs",5249.02484768016
"B","Business",356.64102283006,44.9351971410681,"Hyundai Sonata","Midsize Cars",16025.7346694609
"F","DriveShort",201.629978670515,993.950328447623,"Mazda CX-9","Midsize SUVs",200410.183524446
"E","DriveShort",201.036584835984,473.199495540536,"Mazda CX-9","Midsize SUVs",95130.4105295797
"G","Pleasure",204.009735991209,269.809798736917,"Ford Explorer","Midsize SUVs",55043.8258081597
"A","Business",780.723578594346,4.93867015396245,"Rivian R1T","Large Pickups",3855.73623609865
"B","DriveShort",301.058333952902,170.473951841716,"Hyundai Sonata","Midsize Cars",51322.6039238343
"F","DriveShort",201.975723041673,987.319397615036,"Mazda CX-9","Midsize SUVs",199414.549206366
"C","Pleasure",245.687921221745,141.349266563309,"Ford Explorer","Midsize SUVs",34727.8074681577
"H","DriveLong",259.307574580244,309.447781150416,"Ford Explorer","Midsize SUVs",80242.1535893525
"D","Pleasure",226.540681803215,125.616561260435,"Mazda CX-9","Midsize SUVs",28457.2614337144
"F","DriveLong",231.252190722114,716.721328987554,"Ford Explorer","Midsize SUVs",165743.377465637
"D","DriveShort",224.829501116619,445.27972490862,"Mazda CX-9","Midsize SUVs",100112.01840855
"G","Pleasure",207.820775072608,270.073787613213,"Ford Explorer","Midsize SUVs",56126.9438685729
"F","Business",347.059883469742,307.751490361243,"Subaru Legacy","Midsize Cars",106808.196382412
"D","Pleasure",229.266280680726,123.419257147762,"Mazda CX-9","Midsize SUVs",28295.8740506454
"B","DriveLong",295.986884693395,92.9793750820216,"Ford Explorer","Midsize SUVs",27520.6755712663
"A","Business",810.818873996865,4.9545815262245,"Rivian R1T","Large Pickups",4017.26821421902
"C","Pleasure",248.23654955631,139.658386953408,"Ford Explorer","Midsize SUVs",34668.3160939139
"F","DriveShort",203.016943500289,990.971266279114,"Mazda CX-9","Midsize SUVs",201183.957576596
"C","Pleasure",247.337340719942,140.157826031093,"Ford Explorer","Midsize SUVs",34666.2639716187
"A","DriveShort",272.379445412723,39.6604379992932,"Hyundai Sonata","Midsize Cars",10802.6881070732
"C","Business",340.597876096776,130.565829437447,"Subaru Legacy","Midsize Cars",44470.4441972084
"C","Pleasure",252.452312347491,142.041403530398,"Ford Explorer","Midsize SUVs",35858.6807703322
"C","Pleasure",245.013545106485,139.926734451437,"Ford Explorer","Midsize SUVs",34283.9452631203
"G","DriveLong",256.234714198221,509.941810562834,"Ford Explorer","Midsize SUVs",130664.794087291
"E","DriveShort",202.115761685368,475.817360270489,"Mazda CX-9","Midsize SUVs",96170.188194191
"H","DriveLong",257.700983754428,309.411345701851,"Ford Explorer","Midsize SUVs",79735.6081721484
"C","Pleasure",253.529936996286,138.43381583225,"Ford Explorer","Midsize SUVs",35097.1166061057
